kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
6,7,1e-05,"64, 4",0.24677875638008118,71,0.1028977558016777,0.8971022367477417,"checkableDeposits: 0.58
federalFunds: 0.55
30Y-CMortgageRate: 0.42","1Y-CMaturityRate: 0.29
Ex1: 0.14
3M-Rate-AuctionAverage: 0.09"
6,7,1e-05,"64, 8",0.22360701858997345,36,0.086179219186306,0.913820743560791,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","loansLeases: 0.14
1Y-CMaturityRate: 0.08
demandDeposits: 0.06"
6,7,1e-05,"32, 2",0.24269981682300568,88,0.08299649506807327,0.9170035123825073,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","3M-Rate-SecondaryMarket: 0.05
checkableDeposits: 0.05
loansLeases: 0.03"
6,7,1e-05,"32, 4",0.2624058723449707,87,0.031512726098299026,0.9684872627258301,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.41","3M-Rate-SecondaryMarket: 0.24
loansLeases: 0.09
checkableDeposits: 0.05"
6,7,1e-05,"32, 8",0.24269981682300568,88,0.08299649506807327,0.9170035123825073,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","3M-Rate-SecondaryMarket: 0.05
checkableDeposits: 0.05
loansLeases: 0.03"
6,7,1e-05,"16, 2",0.24345974624156952,9,0.055060189217329025,0.9449398517608643,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.41","loansLeases: 0.24
savingsDeposits: 0.08
3M-Rate-SecondaryMarket: 0.02"
6,7,1e-05,"16, 4",0.23530244827270508,89,0.08672560006380081,0.913274347782135,"checkableDeposits: 0.57
federalFunds: 0.56
30Y-CMortgageRate: 0.42","3Y-CMaturityRate: 0.17
tradeCurrencies: 0.10
loansLeases: 0.07"
6,7,1e-05,"16, 8",0.24345974624156952,9,0.055060189217329025,0.9449398517608643,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.41","loansLeases: 0.24
savingsDeposits: 0.08
3M-Rate-SecondaryMarket: 0.02"
5,4,0.0001,"48, 6",0.2358446717262268,47,0.12814940512180328,0.8718505501747131,"savingsDeposits: 0.47
loansLeases: 0.41
tradeCurrencies: 0.40","1Y-CMaturityRate: 0.00
30Y-CMortgageRate: 0.00
3M-Rate-AuctionAverage: 0.00"
5,4,0.0001,"24, 6",0.21765866875648499,89,0.3290490508079529,0.6709510087966919,"savingsDeposits: 0.37
tradeCurrencies: 0.33
loansLeases: 0.26","Ex1: 0.34
checkableDeposits: 0.31
tradeCurrencies: 0.19"
5,4,0.0001,"12, 6",0.20547954738140106,68,0.3937271237373352,0.6062728762626648,"savingsDeposits: 0.45
tradeCurrencies: 0.38
loansLeases: 0.35","3M-Rate-SecondaryMarket: 0.34
checkableDeposits: 0.16
3M-Rate-AuctionAverage: 0.16"
1,5,1e-05,"48, 6",0.2525887191295624,86,6.715398922096938e-05,0.9999328255653381,"currency: 0.31
loansLeases: 0.30
bankCredit: 0.28","loansLeases: 0.23
savingsDeposits: 0.04
demandDeposits: 0.01"
1,5,1e-05,"24, 6",0.24124830961227417,59,0.0027367277070879936,0.9972632527351379,"currency: 0.33
loansLeases: 0.31
bankCredit: 0.29","checkableDeposits: 0.63
3M-Rate-SecondaryMarket: 0.57
currency: 0.46"
1,5,1e-05,"12, 6",0.24607808887958527,37,0.00671464903280139,0.9932852983474731,"currency: 0.32
loansLeases: 0.30
bankCredit: 0.28","loansLeases: 0.26
3M-Rate-SecondaryMarket: 0.10
savingsDeposits: 0.09"
6,7,1e-05,"48, 6",0.2521257996559143,30,0.001621466246433556,0.9983785152435303,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","3M-Rate-SecondaryMarket: 0.28
3M-Rate-AuctionAverage: 0.28
30Y-CMortgageRate: 0.26"
6,7,1e-05,"24, 6",0.24409350752830505,89,0.17139874398708344,0.8286013007164001,"checkableDeposits: 0.57
federalFunds: 0.56
30Y-CMortgageRate: 0.42","3M-Rate-SecondaryMarket: 0.27
loansLeases: 0.24
checkableDeposits: 0.02"
6,7,1e-05,"12, 6",0.21755217015743256,88,0.22819659113883972,0.7718034386634827,"checkableDeposits: 0.58
federalFunds: 0.55
30Y-CMortgageRate: 0.42","3Y-CMaturityRate: 0.28
loansLeases: 0.22
1Y-CMaturityRate: 0.20"
6,5,1e-05,"48, 6",0.24837258458137512,80,0.08771241456270218,0.9122875928878784,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.25
savingsDeposits: 0.07
tradeCurrencies: 0.05"
6,5,1e-05,"24, 6",0.47255662083625793,2,0.04866770654916763,0.9513322710990906,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.22
savingsDeposits: 0.05
demandDeposits: 0.01"
6,5,1e-05,"12, 6",0.308324933052063,84,0.3410695195198059,0.6589305400848389,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","3M-Rate-SecondaryMarket: 0.40
checkableDeposits: 0.20
loansLeases: 0.10"
