images,class
00/000000.png,False
00/000001.png,False
01/000002.png,True
00/000003.png,False
01/000004.png,True
01/000005.png,True
01/000006.png,True
01/000007.png,True
01/000008.png,True
00/000009.png,False
00/000010.png,False
01/000011.png,True
01/000012.png,True
01/000013.png,True
00/000014.png,False
01/000015.png,True
00/000016.png,False
01/000017.png,True
01/000018.png,True
00/000019.png,False
01/000020.png,True
00/000021.png,False
00/000022.png,False
01/000023.png,True
00/000024.png,False
00/000025.png,False
00/000026.png,False
01/000027.png,True
01/000028.png,True
00/000029.png,False
01/000030.png,True
00/000031.png,False
00/000032.png,False
00/000033.png,False
01/000034.png,True
01/000035.png,True
00/000036.png,False
00/000037.png,False
00/000038.png,False
01/000039.png,True
00/000040.png,False
00/000041.png,False
00/000042.png,False
00/000043.png,False
00/000044.png,False
00/000045.png,False
00/000046.png,False
00/000047.png,False
00/000048.png,False
01/000049.png,True
01/000050.png,True
01/000051.png,True
01/000052.png,True
00/000053.png,False
00/000054.png,False
00/000055.png,False
00/000056.png,False
00/000057.png,False
01/000058.png,True
01/000059.png,True
00/000060.png,False
01/000061.png,True
01/000062.png,True
01/000063.png,True
00/000064.png,False
00/000065.png,False
00/000066.png,False
01/000067.png,True
01/000068.png,True
00/000069.png,False
01/000070.png,True
01/000071.png,True
01/000072.png,True
00/000073.png,False
01/000074.png,True
00/000075.png,False
01/000076.png,True
00/000077.png,False
00/000078.png,False
01/000079.png,True
01/000080.png,True
00/000081.png,False
01/000082.png,True
00/000083.png,False
01/000084.png,True
01/000085.png,True
00/000086.png,False
01/000087.png,True
01/000088.png,True
00/000089.png,False
00/000090.png,False
01/000091.png,True
01/000092.png,True
01/000093.png,True
01/000094.png,True
01/000095.png,True
01/000096.png,True
00/000097.png,False
00/000098.png,False
00/000099.png,False
01/000100.png,True
00/000101.png,False
01/000102.png,True
00/000103.png,False
00/000104.png,False
01/000105.png,True
01/000106.png,True
00/000107.png,False
00/000108.png,False
00/000109.png,False
01/000110.png,True
00/000111.png,False
01/000112.png,True
00/000113.png,False
01/000114.png,True
01/000115.png,True
01/000116.png,True
00/000117.png,False
01/000118.png,True
01/000119.png,True
00/000120.png,False
01/000121.png,True
00/000122.png,False
00/000123.png,False
01/000124.png,True
01/000125.png,True
00/000126.png,False
01/000127.png,True
01/000128.png,True
01/000129.png,True
00/000130.png,False
00/000131.png,False
01/000132.png,True
01/000133.png,True
01/000134.png,True
01/000135.png,True
00/000136.png,False
00/000137.png,False
01/000138.png,True
00/000139.png,False
01/000140.png,True
01/000141.png,True
00/000142.png,False
00/000143.png,False
00/000144.png,False
00/000145.png,False
00/000146.png,False
01/000147.png,True
01/000148.png,True
01/000149.png,True
01/000150.png,True
01/000151.png,True
01/000152.png,True
00/000153.png,False
00/000154.png,False
00/000155.png,False
01/000156.png,True
01/000157.png,True
00/000158.png,False
01/000159.png,True
01/000160.png,True
01/000161.png,True
00/000162.png,False
01/000163.png,True
00/000164.png,False
01/000165.png,True
01/000166.png,True
01/000167.png,True
00/000168.png,False
01/000169.png,True
00/000170.png,False
00/000171.png,False
01/000172.png,True
01/000173.png,True
01/000174.png,True
01/000175.png,True
00/000176.png,False
01/000177.png,True
00/000178.png,False
00/000179.png,False
01/000180.png,True
01/000181.png,True
01/000182.png,True
00/000183.png,False
01/000184.png,True
01/000185.png,True
00/000186.png,False
01/000187.png,True
01/000188.png,True
00/000189.png,False
01/000190.png,True
00/000191.png,False
00/000192.png,False
00/000193.png,False
00/000194.png,False
01/000195.png,True
01/000196.png,True
01/000197.png,True
01/000198.png,True
01/000199.png,True
00/000200.png,False
00/000201.png,False
00/000202.png,False
00/000203.png,False
01/000204.png,True
01/000205.png,True
00/000206.png,False
00/000207.png,False
00/000208.png,False
01/000209.png,True
01/000210.png,True
00/000211.png,False
01/000212.png,True
01/000213.png,True
00/000214.png,False
00/000215.png,False
01/000216.png,True
01/000217.png,True
01/000218.png,True
01/000219.png,True
01/000220.png,True
00/000221.png,False
00/000222.png,False
00/000223.png,False
01/000224.png,True
01/000225.png,True
01/000226.png,True
01/000227.png,True
01/000228.png,True
00/000229.png,False
00/000230.png,False
01/000231.png,True
00/000232.png,False
00/000233.png,False
00/000234.png,False
01/000235.png,True
01/000236.png,True
01/000237.png,True
00/000238.png,False
00/000239.png,False
00/000240.png,False
00/000241.png,False
00/000242.png,False
00/000243.png,False
